Month,Year,Product,Volume,FOB_value_000,"Avg_FOB
"
May,2021.00,Copra,10.00,25.20,2585.00
Jun,2021.00,Copra,11.00,29.13,2648.00
Jul,2021.00,Copra,11.00,26.79,2435.00
Aug,2021.00,Copra,283.00,467.39,1652.00
Sept,2021.00,Copra,343.00,499.88,1457.00
Oct,2021.00,Copra,85.00,137.76,1621.00
Nov,2021.00,Copra,10.00,13.36,1336.00
Dec,2021.00,Copra,32.00,47.47,1483.00
Jan,2022.00,Copra,31.00,47.45,1531.00
Feb,2022.00,Copra,84.00,127.24,1515.00
Mar,2022.00,Copra,74.00,91.39,1243.00
Apr,2022.00,Copra,84.00,95.39,1136.00
May,2022.00,Copra,126.00,165.43,1313.00
Jun,2022.00,Copra,136.00,189.95,1397.00
Jul,2022.00,Copra,149.00,189.72,1273.00
Aug,2022.00,Copra,220.00,273.37,1243.00
Sept,2022.00,Copra,270.00,341.66,1265.00
Oct,2022.00,Copra,264.00,332.75,1260.00
Nov,2022.00,Copra,389.00,489.36,1258.00
Dec,2022.00,Copra,253.00,324.92,1284.00
Jan,2023.00,Copra,152.00,197.83,1301.00
Feb,2023.00,Copra,88.00,117.11,1336.00
Mar,2023.00,Copra,44.00,65.02,1486.00
Apr,2023.00,Copra,0.04,0.21,-
May,2023.00,Copra,22.00,35.35,1644.00
Jun,2023.00,Copra,22.00,41.15,1871.00
Jul,2023.00,Copra,78.00,104.84,1349.00
Aug,2023.00,Copra,161.00,198.81,1232.00
Sept,2023.00,Copra,188.00,227.36,1212.00
Oct,2023.00,Copra,130.00,149.26,1149.00
Nov,2023.00,Copra,75.00,95.17,1273.00
Dec,2023.00,Copra,21.00,26.77,1272.00
Jan,2024.00,Copra,-,-,-
Feb,2024.00,Copra,52.00,70.45,1359.00
Mar,2024.00,Copra,95.00,125.81,1326.00
Apr,2024.00,Copra,32.00,44.96,1405.00
May,2024.00,Copra,21.00,26.56,1265.00
Jun,2024.00,Copra,-,-,-
Jul,2024.00,Copra,22.00,31.49,1464.00
Aug,2024.00,Copra,32.00,44.21,1403.00
Sept,2024.00,Copra,11.00,19.43,1851.00
Oct,2024.00,Copra,53.00,76.89,1451.00
Nov,2024.00,Copra,11.00,13.34,1270.00
Dec,2024.00,Copra,17.00,21.97,1270.00
Jan,2015.00,Coconut Milk,1267.00,2238.76,1767.00
Feb,2015.00,Coconut Milk,1238.00,2073.30,1675.00
Mar,2015.00,Coconut Milk,1525.00,2580.28,1692.00
Apr,2015.00,Coconut Milk,1114.00,1813.10,1628.00
May,2015.00,Coconut Milk,1703.00,2875.54,1689.00
Jun,2015.00,Coconut Milk,2142.00,3086.25,1441.00
Jul,2015.00,Coconut Milk,2504.00,3660.66,1462.00
Aug,2015.00,Coconut Milk,1925.00,2938.22,1526.00
Sept,2015.00,Coconut Milk,2014.00,2914.24,1447.00
Oct,2015.00,Coconut Milk,2172.00,3229.91,1487.00
Nov,2015.00,Coconut Milk,2186.00,3189.71,1459.00
Dec,2015.00,Coconut Milk,2167.00,3435.71,1585.00
Jan,2016.00,Coconut Milk,1977.00,3107.52,1572.00
Feb,2016.00,Coconut Milk,3030.00,4357.46,1438.00
Mar,2016.00,Coconut Milk,2509.00,3750.95,1495.00
Apr,2016.00,Coconut Milk,2447.00,3570.49,1459.00
May,2016.00,Coconut Milk,2902.00,4348.89,1499.00
Jun,2016.00,Coconut Milk,2812.00,4000.57,1423.00
Jul,2016.00,Coconut Milk,3124.00,4314.05,1381.00
Aug,2016.00,Coconut Milk,3042.00,4063.22,1336.00
Sept,2016.00,Coconut Milk,2508.00,3547.30,1414.00
Oct,2016.00,Coconut Milk,2287.00,3278.00,1433.00
Nov,2016.00,Coconut Milk,2054.00,3006.25,1464.00
Dec,2016.00,Coconut Milk,1805.00,3003.36,1664.00
Jan,2017.00,Coconut Milk,2140.00,3183.68,1488.00
Feb,2017.00,Coconut Milk,2168.00,3490.29,1610.00
Mar,2017.00,Coconut Milk,3119.00,4937.22,1583.00
Apr,2017.00,Coconut Milk,2231.00,3726.47,1670.00
May,2017.00,Coconut Milk,2698.00,4540.66,1683.00
Jun,2017.00,Coconut Milk,2612.00,4451.55,1704.00
Jul,2017.00,Coconut Milk,3266.00,5641.83,1727.00
Aug,2017.00,Coconut Milk,3381.00,5471.97,1618.00
Sept,2017.00,Coconut Milk,2391.00,4141.17,1732.00
Oct,2017.00,Coconut Milk,3442.00,4957.24,1440.00
Nov,2017.00,Coconut Milk,2741.00,4370.45,1594.00
Dec,2017.00,Coconut Milk,2678.00,5010.67,1871.00
Jan,2018.00,Coconut Milk,2150.00,3674.56,1709.00
Feb,2018.00,Coconut Milk,2578.00,4901.08,1901.00
Mar,2018.00,Coconut Milk,3834.00,7060.46,1842.00
Apr,2018.00,Coconut Milk,2465.00,4912.35,1993.00
May,2018.00,Coconut Milk,2554.00,5371.07,2103.00
Jun,2018.00,Coconut Milk,3637.00,7120.01,1958.00
Jul,2018.00,Coconut Milk,3179.00,5783.86,1819.00
Aug,2018.00,Coconut Milk,3474.00,5544.03,1596.00
Sept,2018.00,Coconut Milk,2688.00,4559.51,1696.00
Oct,2018.00,Coconut Milk,2322.00,4039.53,1740.00
Nov,2018.00,Coconut Milk,2214.00,3863.79,1745.00
Dec,2018.00,Coconut Milk,2783.00,4528.02,1627.00
Jan,2019.00,Coconut Milk,2747.00,3674.56,1338.00
Feb,2019.00,Coconut Milk,2997.00,4901.08,1635.00
Mar,2019.00,Coconut Milk,4453.00,7060.46,1586.00
Apr,2019.00,Coconut Milk,2978.00,4912.35,1650.00
May,2019.00,Coconut Milk,3332.00,5371.07,1612.00
Jun,2019.00,Coconut Milk,4535.00,7120.01,1570.00
Jul,2019.00,Coconut Milk,4087.00,5783.86,1415.00
Aug,2019.00,Coconut Milk,2957.00,5544.03,1875.00
Sept,2019.00,Coconut Milk,3250.00,4559.51,1403.00
Oct,2019.00,Coconut Milk,3265.00,4039.53,1237.00
Nov,2019.00,Coconut Milk,3500.00,3863.79,1104.00
Dec,2019.00,Coconut Milk,4358.00,4528.02,1039.00
Jan,2020.00,Coconut Milk,3402.00,5612.03,1650.00
Feb,2020.00,Coconut Milk,3319.00,5466.87,1647.00
Mar,2020.00,Coconut Milk,2738.00,4683.28,1710.00
Apr,2020.00,Coconut Milk,1798.00,3042.26,1692.00
May,2020.00,Coconut Milk,3343.00,5873.52,1757.00
Jun,2020.00,Coconut Milk,4970.00,8405.49,1691.00
Jul,2020.00,Coconut Milk,5369.00,9395.36,1750.00
Aug,2020.00,Coconut Milk,4575.00,8209.22,1794.00
Sept,2020.00,Coconut Milk,4778.00,9327.84,1952.00
Oct,2020.00,Coconut Milk,3761.00,7045.43,1873.00
Nov,2020.00,Coconut Milk,4355.00,8035.89,1845.00
Dec,2020.00,Coconut Milk,4218.00,8014.08,1900.00
Jan,2021.00,Coconut Milk,4039.00,7728.34,1913.00
Feb,2021.00,Coconut Milk,4071.00,7749.79,1904.00
Mar,2021.00,Coconut Milk,5156.00,9999.16,1939.00
Apr,2021.00,Coconut Milk,4030.00,8067.43,2002.00
May,2021.00,Coconut Milk,4131.00,7960.29,1927.00
Jun,2021.00,Coconut Milk,4230.00,8107.95,1917.00
Jul,2021.00,Coconut Milk,4818.00,9408.87,1953.00
Aug,2021.00,Coconut Milk,4071.00,7954.94,1954.00
Sept,2021.00,Coconut Milk,4156.00,7960.75,1915.00
Oct,2021.00,Coconut Milk,4674.00,8881.30,1900.00
Nov,2021.00,Coconut Milk,5095.00,9555.79,1876.00
Dec,2021.00,Coconut Milk,4784.00,9569.38,2000.00
Jan,2022.00,Coconut Milk,5088.00,10246.25,2014.00
Feb,2022.00,Coconut Milk,4527.00,8657.05,1912.00
Mar,2022.00,Coconut Milk,5192.00,9354.72,1802.00
Apr,2022.00,Coconut Milk,4663.00,8275.78,1775.00
May,2022.00,Coconut Milk,3753.00,6790.35,1809.00
Jun,2022.00,Coconut Milk,5233.00,9295.16,1776.00
Jul,2022.00,Coconut Milk,3583.00,6537.35,1825.00
Aug,2022.00,Coconut Milk,4202.00,7167.22,1706.00
Sept,2022.00,Coconut Milk,3931.00,6411.30,1631.00
Oct,2022.00,Coconut Milk,4113.00,6559.16,1595.00
Nov,2022.00,Coconut Milk,3662.00,5628.80,1537.00
Dec,2022.00,Coconut Milk,4818.00,7386.50,1533.00
Jan,2023.00,Coconut Milk,4421.00,6874.53,1555.00
Feb,2023.00,Coconut Milk,4366.00,6634.43,1519.00
Mar,2023.00,Coconut Milk,4746.00,7325.83,1544.00
Apr,2023.00,Coconut Milk,4055.00,6236.05,1538.00
May,2023.00,Coconut Milk,4733.00,7334.34,1550.00
Jun,2023.00,Coconut Milk,4416.00,6734.92,1525.00
Jul,2023.00,Coconut Milk,4542.00,6983.39,1537.00
Aug,2023.00,Coconut Milk,4251.00,6502.83,1530.00
Sept,2023.00,Coconut Milk,5068.00,7525.20,1485.00
Oct,2023.00,Coconut Milk,5169.00,7388.19,1429.00
Nov,2023.00,Coconut Milk,6041.00,8874.07,1469.00
Dec,2023.00,Coconut Milk,6204.00,8552.69,1379.00
Jan,2024.00,Coconut Milk,5513.00,7743.45,1404.00
Feb,2024.00,Coconut Milk,6739.00,9507.71,1411.00
Mar,2024.00,Coconut Milk,7056.00,10212.49,1447.00
Apr,2024.00,Coconut Milk,6149.00,8754.42,1424.00
May,2024.00,Coconut Milk,5787.00,8045.02,1390.00
Jun,2024.00,Coconut Milk,6203.00,8321.27,1342.00
Jul,2024.00,Coconut Milk,6165.00,8562.15,1389.00
Aug,2024.00,Coconut Milk,8643.00,12190.73,1410.00
Sept,2024.00,Coconut Milk,6326.00,8740.21,1382.00
Oct,2024.00,Coconut Milk,7179.00,10598.05,1476.00
Nov,2024.00,Coconut Milk,6619.00,10114.16,1528.00
Dec,2024.00,Coconut Milk,5454.00,8429.55,1546.00
Jan,2015.00,Coconut Cream,184.00,581.65,3161.00
Feb,2015.00,Coconut Cream,125.00,406.16,3249.00
Mar,2015.00,Coconut Cream,187.00,600.57,3212.00
Apr,2015.00,Coconut Cream,173.00,514.40,2973.00
May,2015.00,Coconut Cream,199.00,697.25,3504.00
Jun,2015.00,Coconut Cream,189.00,577.04,3053.00
Jul,2015.00,Coconut Cream,336.00,968.84,2883.00
Aug,2015.00,Coconut Cream,259.00,786.08,3035.00
Sept,2015.00,Coconut Cream,350.00,1106.80,3162.00
Oct,2015.00,Coconut Cream,241.00,803.38,3334.00
Nov,2015.00,Coconut Cream,363.00,1037.37,2858.00
Dec,2015.00,Coconut Cream,268.00,823.44,3073.00
Jan,2016.00,Coconut Cream,196.00,598.67,3054.00
Feb,2016.00,Coconut Cream,89.00,272.09,3057.00
Mar,2016.00,Coconut Cream,207.00,527.03,2546.00
Apr,2016.00,Coconut Cream,157.00,461.92,2942.00
May,2016.00,Coconut Cream,226.00,658.88,2915.00
Jun,2016.00,Coconut Cream,285.00,824.99,2895.00
Jul,2016.00,Coconut Cream,239.00,658.28,2754.00
Aug,2016.00,Coconut Cream,268.00,746.70,2786.00
Sept,2016.00,Coconut Cream,412.00,1060.60,2574.00
Oct,2016.00,Coconut Cream,800.00,1641.47,2052.00
Nov,2016.00,Coconut Cream,517.00,1241.28,2401.00
Dec,2016.00,Coconut Cream,256.00,727.26,2841.00
Jan,2017.00,Coconut Cream,395.00,1135.05,2874.00
Feb,2017.00,Coconut Cream,467.00,1306.08,2797.00
Mar,2017.00,Coconut Cream,384.00,1091.06,2841.00
Apr,2017.00,Coconut Cream,580.00,1574.28,2714.00
May,2017.00,Coconut Cream,569.00,1514.09,2661.00
Jun,2017.00,Coconut Cream,678.00,1795.80,2649.00
Jul,2017.00,Coconut Cream,638.00,1773.41,2780.00
Aug,2017.00,Coconut Cream,448.00,1338.60,2988.00
Sept,2017.00,Coconut Cream,584.00,1612.94,2763.00
Oct,2017.00,Coconut Cream,570.00,1565.91,2747.00
Nov,2017.00,Coconut Cream,613.00,1763.35,2877.00
Dec,2017.00,Coconut Cream,520.00,1620.32,3116.00
Jan,2018.00,Coconut Cream,349.00,1246.31,3571.00
Feb,2018.00,Coconut Cream,453.00,1508.42,3330.00
Mar,2018.00,Coconut Cream,759.00,2748.41,3621.00
Apr,2018.00,Coconut Cream,768.00,2266.61,2951.00
May,2018.00,Coconut Cream,843.00,2447.22,2903.00
Jun,2018.00,Coconut Cream,812.00,2330.36,2870.00
Jul,2018.00,Coconut Cream,896.00,2545.46,2841.00
Aug,2018.00,Coconut Cream,930.00,2470.70,2657.00
Sept,2018.00,Coconut Cream,1106.00,2662.05,2407.00
Oct,2018.00,Coconut Cream,1041.00,2657.51,2553.00
Nov,2018.00,Coconut Cream,976.00,2523.79,2586.00
Dec,2018.00,Coconut Cream,849.00,2120.84,2498.00
Jan,2019.00,Coconut Cream,962.00,2282.16,2372.00
Feb,2019.00,Coconut Cream,902.00,1998.71,2216.00
Mar,2019.00,Coconut Cream,1198.00,2610.33,2179.00
Apr,2019.00,Coconut Cream,713.00,1474.47,2068.00
May,2019.00,Coconut Cream,774.00,1769.03,2286.00
Jun,2019.00,Coconut Cream,835.00,1808.99,2166.00
Jul,2019.00,Coconut Cream,787.00,1672.84,2126.00
Aug,2019.00,Coconut Cream,908.00,1844.44,2031.00
Sept,2019.00,Coconut Cream,913.00,1851.89,2028.00
Oct,2019.00,Coconut Cream,983.00,2011.49,2046.00
Nov,2019.00,Coconut Cream,1028.00,2015.64,1961.00
Dec,2019.00,Coconut Cream,984.00,2007.98,2041.00
Jan,2020.00,Coconut Cream,1100.00,2320.28,2109.00
Feb,2020.00,Coconut Cream,933.00,2053.11,2201.00
Mar,2020.00,Coconut Cream,1010.00,2137.01,2116.00
Apr,2020.00,Coconut Cream,862.00,1824.82,2118.00
May,2020.00,Coconut Cream,1282.00,2747.17,2143.00
Jun,2020.00,Coconut Cream,1406.00,3102.76,2208.00
Jul,2020.00,Coconut Cream,1309.00,2958.10,2259.00
Aug,2020.00,Coconut Cream,1374.00,3033.84,2208.00
Sept,2020.00,Coconut Cream,1593.00,3471.23,2179.00
Oct,2020.00,Coconut Cream,1586.00,3473.25,2190.00
Nov,2020.00,Coconut Cream,1221.00,2784.95,2281.00
Dec,2020.00,Coconut Cream,1373.00,3209.96,2338.00
Jan,2021.00,Coconut Cream,1025.00,2507.48,2446.00
Feb,2021.00,Coconut Cream,1143.00,2737.97,2395.00
Mar,2021.00,Coconut Cream,1563.00,3888.31,2488.00
Apr,2021.00,Coconut Cream,1153.00,2878.16,2496.00
May,2021.00,Coconut Cream,1380.00,3321.28,2407.00
Jun,2021.00,Coconut Cream,1665.00,3769.79,2264.00
Jul,2021.00,Coconut Cream,2029.00,4931.53,2431.00
Aug,2021.00,Coconut Cream,1765.00,5243.34,2971.00
Sept,2021.00,Coconut Cream,1867.00,4475.18,2397.00
Oct,2021.00,Coconut Cream,2198.00,5351.20,2435.00
Nov,2021.00,Coconut Cream,2156.00,4986.88,2313.00
Dec,2021.00,Coconut Cream,1639.00,3814.13,2327.00
Jan,2022.00,Coconut Cream,1588.00,3815.02,2402.00
Feb,2022.00,Coconut Cream,1338.00,3219.35,2406.00
Mar,2022.00,Coconut Cream,1905.00,4041.02,2121.00
Apr,2022.00,Coconut Cream,1824.00,3995.59,2191.00
May,2022.00,Coconut Cream,1502.00,3408.05,2269.00
Jun,2022.00,Coconut Cream,1316.00,2814.70,2139.00
Jul,2022.00,Coconut Cream,1220.00,2694.18,2208.00
Aug,2022.00,Coconut Cream,1585.00,3322.09,2096.00
Sept,2022.00,Coconut Cream,1285.00,2647.21,2060.00
Oct,2022.00,Coconut Cream,1004.00,1945.41,1938.00
Nov,2022.00,Coconut Cream,1099.00,2144.23,1951.00
Dec,2022.00,Coconut Cream,1471.00,2612.93,1776.00
Jan,2023.00,Coconut Cream,1105.00,2082.19,1884.00
Feb,2023.00,Coconut Cream,1443.00,2687.11,1862.00
Mar,2023.00,Coconut Cream,1390.00,2633.15,1895.00
Apr,2023.00,Coconut Cream,1251.00,2182.10,1745.00
May,2023.00,Coconut Cream,1717.00,3133.44,1825.00
Jun,2023.00,Coconut Cream,1762.00,2947.89,1673.00
Jul,2023.00,Coconut Cream,2023.00,3305.12,1634.00
Aug,2023.00,Coconut Cream,2142.00,3718.22,1735.00
Sept,2023.00,Coconut Cream,1962.00,3231.57,1647.00
Oct,2023.00,Coconut Cream,1875.00,3121.61,1665.00
Nov,2023.00,Coconut Cream,1997.00,3355.09,1680.00
Dec,2023.00,Coconut Cream,2007.00,3691.35,1839.00
Jan,2024.00,Coconut Cream,1719.00,2855.89,1662.00
Feb,2024.00,Coconut Cream,1861.00,3201.76,1720.00
Mar,2024.00,Coconut Cream,2619.00,4548.67,1737.00
Apr,2024.00,Coconut Cream,2014.00,3202.77,1590.00
May,2024.00,Coconut Cream,2426.00,4186.44,1725.00
Jun,2024.00,Coconut Cream,2367.00,4187.45,1769.00
Jul,2024.00,Coconut Cream,2557.00,4350.44,1701.00
Aug,2024.00,Coconut Cream,2782.00,5086.97,1829.00
Sept,2024.00,Coconut Cream,2002.00,3555.38,1776.00
Oct,2024.00,Coconut Cream,1784.00,3358.18,1883.00
Nov,2024.00,Coconut Cream,1661.00,3125.87,1882.00
Dec,2024.00,Coconut Cream,1601.00,3349.23,2092.00
Jan,2015.00,Coconut Milk Powder,467.00,2132.36,4566.00
Feb,2015.00,Coconut Milk Powder,572.00,2652.16,4637.00
Mar,2015.00,Coconut Milk Powder,581.00,2803.89,4826.00
Apr,2015.00,Coconut Milk Powder,460.00,2186.29,4753.00
May,2015.00,Coconut Milk Powder,546.00,2698.37,4942.00
Jun,2015.00,Coconut Milk Powder,545.00,2602.89,4776.00
Jul,2015.00,Coconut Milk Powder,376.00,1619.24,4306.00
Aug,2015.00,Coconut Milk Powder,366.00,1719.88,4699.00
Sept,2015.00,Coconut Milk Powder,427.00,1910.33,4474.00
Oct,2015.00,Coconut Milk Powder,426.00,1899.34,4459.00
Nov,2015.00,Coconut Milk Powder,369.00,1621.65,4395.00
Dec,2015.00,Coconut Milk Powder,507.00,2183.60,4307.00
Jan,2016.00,Coconut Milk Powder,542.00,2413.71,4453.00
Feb,2016.00,Coconut Milk Powder,805.00,3393.88,4216.00
Mar,2016.00,Coconut Milk Powder,551.00,2511.18,4557.00
Apr,2016.00,Coconut Milk Powder,551.00,2462.05,4468.00
May,2016.00,Coconut Milk Powder,634.00,2842.36,4483.00
Jun,2016.00,Coconut Milk Powder,628.00,2536.62,4039.00
Jul,2016.00,Coconut Milk Powder,505.00,2072.96,4105.00
Aug,2016.00,Coconut Milk Powder,414.00,1717.07,4148.00
Sept,2016.00,Coconut Milk Powder,512.00,2016.95,3939.00
Oct,2016.00,Coconut Milk Powder,447.00,1990.17,4452.00
Nov,2016.00,Coconut Milk Powder,638.00,2464.47,3863.00
Dec,2016.00,Coconut Milk Powder,566.00,2209.54,3904.00
Jan,2017.00,Coconut Milk Powder,624.00,2528.74,4052.00
Feb,2017.00,Coconut Milk Powder,536.00,2362.82,4408.00
Mar,2017.00,Coconut Milk Powder,620.00,2861.62,4616.00
Apr,2017.00,Coconut Milk Powder,305.00,1472.86,4829.00
May,2017.00,Coconut Milk Powder,380.00,1843.29,4851.00
Jun,2017.00,Coconut Milk Powder,488.00,2248.18,4607.00
Jul,2017.00,Coconut Milk Powder,470.00,2308.57,4912.00
Aug,2017.00,Coconut Milk Powder,493.00,2468.10,5006.00
Sept,2017.00,Coconut Milk Powder,568.00,3051.22,5373.00
Oct,2017.00,Coconut Milk Powder,533.00,2889.74,5422.00
Nov,2017.00,Coconut Milk Powder,657.00,3683.86,5607.00
Dec,2017.00,Coconut Milk Powder,560.00,3244.73,5794.00
Jan,2018.00,Coconut Milk Powder,549.00,3544.01,6455.00
Feb,2018.00,Coconut Milk Powder,542.00,3290.86,6072.00
Mar,2018.00,Coconut Milk Powder,576.00,3564.91,6189.00
Apr,2018.00,Coconut Milk Powder,387.00,2433.54,6288.00
May,2018.00,Coconut Milk Powder,556.00,3156.00,5681.00
Jun,2018.00,Coconut Milk Powder,615.00,3307.70,5378.00
Jul,2018.00,Coconut Milk Powder,639.00,3597.85,5630.00
Aug,2018.00,Coconut Milk Powder,653.00,3226.33,4941.00
Sept,2018.00,Coconut Milk Powder,701.00,3237.94,4619.00
Oct,2018.00,Coconut Milk Powder,527.00,2187.58,4151.00
Nov,2018.00,Coconut Milk Powder,685.00,2925.81,4271.00
Dec,2018.00,Coconut Milk Powder,559.00,2711.22,4850.00
Jan,2019.00,Coconut Milk Powder,646.00,2831.57,4383.00
Feb,2019.00,Coconut Milk Powder,760.00,3216.82,4233.00
Mar,2019.00,Coconut Milk Powder,646.00,2668.73,4131.00
Apr,2019.00,Coconut Milk Powder,500.00,2132.91,4266.00
May,2019.00,Coconut Milk Powder,663.00,2691.93,4060.00
Jun,2019.00,Coconut Milk Powder,666.00,2523.40,3789.00
Jul,2019.00,Coconut Milk Powder,600.00,2591.41,4319.00
Aug,2019.00,Coconut Milk Powder,549.00,2240.35,4081.00
Sept,2019.00,Coconut Milk Powder,549.00,2198.79,4005.00
Oct,2019.00,Coconut Milk Powder,603.00,2521.37,4181.00
Nov,2019.00,Coconut Milk Powder,578.00,2307.59,3995.00
Dec,2019.00,Coconut Milk Powder,688.00,2702.25,3928.00
Jan,2020.00,Coconut Milk Powder,541.00,2021.99,3737.00
Feb,2020.00,Coconut Milk Powder,707.00,2997.30,4239.00
Mar,2020.00,Coconut Milk Powder,691.00,2783.68,4028.00
Apr,2020.00,Coconut Milk Powder,294.00,1365.64,4645.00
May,2020.00,Coconut Milk Powder,392.00,2059.93,5255.00
Jun,2020.00,Coconut Milk Powder,581.00,2446.16,4210.00
Jul,2020.00,Coconut Milk Powder,679.00,3331.44,4906.00
Aug,2020.00,Coconut Milk Powder,646.00,3261.82,5049.00
Sept,2020.00,Coconut Milk Powder,520.00,2280.56,4386.00
Oct,2020.00,Coconut Milk Powder,719.00,3567.54,4962.00
Nov,2020.00,Coconut Milk Powder,580.00,2898.43,4997.00
Dec,2020.00,Coconut Milk Powder,401.00,2262.65,5643.00
Jan,2021.00,Coconut Milk Powder,552.00,3329.99,6033.00
Feb,2021.00,Coconut Milk Powder,636.00,4017.44,6317.00
Mar,2021.00,Coconut Milk Powder,751.00,4594.41,6118.00
Apr,2021.00,Coconut Milk Powder,572.00,3107.87,5433.00
May,2021.00,Coconut Milk Powder,443.00,2365.85,5341.00
Jun,2021.00,Coconut Milk Powder,391.00,2202.72,5634.00
Jul,2021.00,Coconut Milk Powder,623.00,3345.48,5370.00
Aug,2021.00,Coconut Milk Powder,715.00,3708.35,5187.00
Sept,2021.00,Coconut Milk Powder,513.00,2520.96,4914.00
Oct,2021.00,Coconut Milk Powder,789.00,4037.25,5117.00
Nov,2021.00,Coconut Milk Powder,830.00,4410.99,5314.00
Dec,2021.00,Coconut Milk Powder,627.00,3170.29,5056.00
Jan,2022.00,Coconut Milk Powder,721.00,3993.47,5539.00
Feb,2022.00,Coconut Milk Powder,757.00,4073.37,5381.00
Mar,2022.00,Coconut Milk Powder,653.00,3323.99,5090.00
Apr,2022.00,Coconut Milk Powder,577.00,2786.43,4829.00
May,2022.00,Coconut Milk Powder,593.00,2887.65,4870.00
Jun,2022.00,Coconut Milk Powder,985.00,5010.81,5087.00
Jul,2022.00,Coconut Milk Powder,594.00,2812.96,4736.00
Aug,2022.00,Coconut Milk Powder,757.00,3405.12,4498.00
Sept,2022.00,Coconut Milk Powder,731.00,3381.49,4626.00
Oct,2022.00,Coconut Milk Powder,858.00,3964.48,4621.00
Nov,2022.00,Coconut Milk Powder,670.00,3122.50,4660.00
Dec,2022.00,Coconut Milk Powder,725.00,3323.11,4584.00
Jan,2023.00,Coconut Milk Powder,462.00,2193.18,4747.00
Feb,2023.00,Coconut Milk Powder,638.00,2938.52,4609.00
Mar,2023.00,Coconut Milk Powder,579.00,2773.42,4793.00
Apr,2023.00,Coconut Milk Powder,698.00,3150.24,4511.00
May,2023.00,Coconut Milk Powder,776.00,3628.42,4674.00
Jun,2023.00,Coconut Milk Powder,671.00,3146.74,4687.00
Jul,2023.00,Coconut Milk Powder,793.00,3978.82,5021.00
Aug,2023.00,Coconut Milk Powder,732.00,3815.05,5211.00
Sept,2023.00,Coconut Milk Powder,825.00,4089.17,4957.00
Oct,2023.00,Coconut Milk Powder,705.00,3386.11,4804.00
Nov,2023.00,Coconut Milk Powder,779.00,3748.56,4814.00
Dec,2023.00,Coconut Milk Powder,750.00,3513.21,4686.00
Jan,2024.00,Coconut Milk Powder,575.00,2738.71,4764.00
Feb,2024.00,Coconut Milk Powder,874.00,4157.21,4758.00
Mar,2024.00,Coconut Milk Powder,1115.00,5192.95,4658.00
Apr,2024.00,Coconut Milk Powder,622.00,2959.25,4755.00
May,2024.00,Coconut Milk Powder,1121.00,5232.93,4667.00
Jun,2024.00,Coconut Milk Powder,1063.00,5007.63,4709.00
Jul,2024.00,Coconut Milk Powder,879.00,4511.48,5135.00
Aug,2024.00,Coconut Milk Powder,1358.00,6861.05,5054.00
Sept,2024.00,Coconut Milk Powder,834.00,4247.14,5094.00
Oct,2024.00,Coconut Milk Powder,1074.00,5767.27,5371.00
Nov,2024.00,Coconut Milk Powder,845.00,4677.60,5536.00
Dec,2024.00,Coconut Milk Powder,1069.00,5879.94,5500.00
Jan,2015.00,Fresh Coconut,-,-,-
Feb,2015.00,Fresh Coconut,-,-,-
Mar,2015.00,Fresh Coconut,-,-,-
Apr,2015.00,Fresh Coconut,-,-,-
May,2015.00,Fresh Coconut,616.00,336.87,547.00
Jun,2015.00,Fresh Coconut,821.00,551.25,671.00
Jul,2015.00,Fresh Coconut,1187.00,711.28,599.00
Aug,2015.00,Fresh Coconut,1700.00,972.99,572.00
Sept,2015.00,Fresh Coconut,2627.00,1454.87,554.00
Oct,2015.00,Fresh Coconut,2710.00,1551.96,573.00
Nov,2015.00,Fresh Coconut,1654.00,869.92,526.00
Dec,2015.00,Fresh Coconut,1889.00,949.43,503.00
Jan,2016.00,Fresh Coconut,2495.00,1165.44,467.00
Feb,2016.00,Fresh Coconut,3144.00,1475.15,469.00
Mar,2016.00,Fresh Coconut,2802.00,1386.97,495.00
Apr,2016.00,Fresh Coconut,1877.00,908.48,484.00
May,2016.00,Fresh Coconut,1028.00,464.87,452.00
Jun,2016.00,Fresh Coconut,1391.00,617.35,444.00
Jul,2016.00,Fresh Coconut,2322.00,981.77,423.00
Aug,2016.00,Fresh Coconut,2821.00,1098.09,389.00
Sept,2016.00,Fresh Coconut,3574.00,3259.03,912.00
Oct,2016.00,Fresh Coconut,4193.00,1604.11,383.00
Nov,2016.00,Fresh Coconut,2724.00,1035.10,380.00
Dec,2016.00,Fresh Coconut,2062.00,837.17,406.00
Jan,2017.00,Fresh Coconut,2698.00,1136.66,421.00
Feb,2017.00,Fresh Coconut,1633.00,859.58,526.00
Mar,2017.00,Fresh Coconut,1512.00,850.98,563.00
Apr,2017.00,Fresh Coconut,1212.00,736.47,608.00
May,2017.00,Fresh Coconut,1009.00,598.67,593.00
Jun,2017.00,Fresh Coconut,2019.00,1147.37,568.00
Jul,2017.00,Fresh Coconut,106.00,75.25,708.00
Aug,2017.00,Fresh Coconut,42.00,84.53,1994.00
Sept,2017.00,Fresh Coconut,-,-,-
Oct,2017.00,Fresh Coconut,-,-,-
Nov,2017.00,Fresh Coconut,-,-,-
Dec,2017.00,Fresh Coconut,-,-,-
Jan,2018.00,Fresh Coconut,-,-,-
Feb,2018.00,Fresh Coconut,-,-,-
Mar,2018.00,Fresh Coconut,-,-,-
Apr,2018.00,Fresh Coconut,-,-,-
May,2018.00,Fresh Coconut,-,-,-
Jun,2018.00,Fresh Coconut,-,-,-
